show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,imdb_rating
80244547,Movie,Maktub,Oded Raz,"Guy Amir, Hanan Savyon, Itzik Cohen, Igal Naor",Israel,2018,TV-MA,106 min,"Comedies, International Movies",7.5
80184100,Movie,Set It Up,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs, Meredith Hagner, Pete Davidson, Tituss Burgess",United States,2018,TV-14,106 min,"Comedies, Romantic Movies",6.5
80131280,Movie,Sunday's Illness,Ramón Salazar,"Bárbara Lennie, Susi Sánchez, Miguel Ángel Solá, Richard Bohringer",Spain,2017,TV-14,113 min,"Dramas, Independent Movies, International Movies",6.9
80991026,Movie,The last hour,Eduardo Mendoza de Echave,"Pietro Sibille, Nidia Bermejo, Toño Vega, Tommy Párraga, Fausto Molina, Katerina D'Onofrio, Haysen Percovich, Emilram Cossío, Sandro Calderón, Tony Dulzaidez","Chile, Peru",2017,TV-MA,119 min,"Dramas, International Movies",6.2
80164206,Movie,Cave,Henrik Martin Dahlsbakken,"Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle",Norway,2016,TV-MA,77 min,"Action & Adventure, International Movies, Thrillers",4.2
80187684,Movie,Kanavu Variyam,Arun Chidambaram,"Jiya Anil Manne, Arun Chidambaram, T.P. Gajendran, Gnanasambandam, M. Ilavarasu, Yog Japee, Mayilsamy, Black Pandi",India,2017,TV-PG,104 min,"Comedies, Dramas, International Movies",6.8
80160726,Movie,Marco Luque: Tamo Junto,Caio Cobra,Marco Luque,Brazil,2017,TV-MA,73 min,Stand-Up Comedy,4.3
80104706,Movie,Mr. Gaga: A True Story of Love and Dance,Tomer Heymann,Ohad Naharin,"Israel, Sweden, Germany, Netherlands",2015,TV-14,102 min,"Documentaries, International Movies",7.6
80158770,Movie,The Russian Revolution,Cal Seville,Jonathan Kydd,United Kingdom,2017,TV-14,47 min,Documentaries,6.5
70302844,Movie,The Pirate Fairy,Peggy Holmes,"Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston",United States,2014,G,78 min,Children & Family Movies,6.6
80245601,Movie,DJ Cinderella,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,2019,TV-PG,95 min,"Children & Family Movies, Comedies",4.6
80242619,Movie,Murder Mystery,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Gemma Arterton, Adeel Akhtar, Luis Gerardo Méndez, Dany Boon, Terence Stamp",United States,2019,PG-13,98 min,Comedies,6.0
70267830,Movie,Cutie and the Boxer,Zachary Heinzerling,"Noriko Shinohara, Ushio Shinohara",United States,2013,R,82 min,Documentaries,7.2
